"""","選挙当日有権者数(人)","選挙当日有権者数_男(人)","選挙当日有権者数_女(人)","投票者数(人)","投票者数_男(人)","投票者数_女(人)"," 投票率(％)"," 投票率_男(％)"," 投票率_女(％)"
"県  計","823371.0","383786.0","439585.0","326439.0","151582.0","174857.0","39.646647744455414","39.4964902315353","39.77774491850268"
"","","","","","","","","",""
"   和歌山市","307874.0","143914.0","163960.0","90410.0","42445.0","47965.0","29.365909430481302","29.493308503689704","29.25408636252745"
"   海 南 市","45453.0","20975.0","24478.0","18794.0","8722.0","10072.0","41.348205838998524","41.582836710369484","41.14715254514258"
"   橋 本 市","53916.0","25122.0","28794.0","20528.0","9720.0","10808.0","38.07404110097188","38.69118700740387","37.53559769396402"
"   有 田 市","24851.0","11568.0","13283.0","10862.0","5043.0","5819.0","43.70850267594865","43.594398340248965","43.807874727094784"
"   御 坊 市","20244.0","9477.0","10767.0","9621.0","4503.0","5118.0","47.525192649673976","47.51503640392529","47.53413207021455"
"   田 辺 市","64417.0","30035.0","34382.0","28094.0","13047.0","15047.0","43.61271093034447","43.43932079240886","43.764178930835904"
"   新 宮 市","25549.0","11600.0","13949.0","11533.0","5082.0","6451.0","45.1407100082195","43.810344827586206","46.247042798766934"
"   紀の川市","54113.0","25283.0","28830.0","22121.0","10300.0","11821.0","40.879271154805686","40.73883637226595","41.00242802636143"
"   岩 出 市","41425.0","19769.0","21656.0","13643.0","6503.0","7140.0","32.93421846710923","32.89493651676868","32.970077576653125"
"","","","","","","","","",""
"   紀美野町","8672.0","3979.0","4693.0","4776.0","2170.0","2606.0","55.073800738007385","54.5363156572003","55.52951203920733"
"","","","","","","","","",""
"   かつらぎ町","15216.0","7026.0","8190.0","8148.0","3765.0","4383.0","53.548895899053626","53.586678052946205","53.51648351648352"
"   九度山町","4097.0","1884.0","2213.0","2270.0","1036.0","1234.0","55.406394923114476","54.989384288747345","55.76140985088116"
"   高 野 町","2965.0","1414.0","1551.0","1875.0","891.0","984.0","63.23777403035413","63.012729844413016","63.44294003868471"
"","","","","","","","","",""
"   湯 浅 町","10764.0","5009.0","5755.0","5325.0","2450.0","2875.0","49.47045707915273","48.91195847474546","49.95655951346655"
"   広 川 町","6186.0","2902.0","3284.0","3516.0","1600.0","1916.0","56.83802133850631","55.13439007580979","58.34348355663824"
"   有田川町","22350.0","10335.0","12015.0","11308.0","5205.0","6103.0","50.59507829977628","50.36284470246735","50.79483978360383"
"","","","","","","","","",""
"   美 浜 町","6402.0","2930.0","3472.0","3822.0","1712.0","2110.0","59.700093720712275","58.43003412969283","60.771889400921665"
"   日 高 町","6265.0","2902.0","3363.0","4080.0","1907.0","2173.0","65.12370311252992","65.71330117160579","64.61492714837942"
"   由 良 町","5345.0","2527.0","2818.0","3467.0","1590.0","1877.0","64.8643592142189","62.9204590423427","66.60752306600426"
"   印 南 町","7265.0","3391.0","3874.0","4732.0","2208.0","2524.0","65.13420509291122","65.1135358301386","65.15229736706247"
"   みなべ町","11036.0","5202.0","5834.0","6223.0","2908.0","3315.0","56.38818412468286","55.901576316801226","56.82207747685979"
" 　日高川町","8594.0","3961.0","4633.0","6239.0","2889.0","3350.0","72.59716080986735","72.93612724059581","72.30736024174401"
"","","","","","","","","",""
" 　白 浜 町","18942.0","8797.0","10145.0","8518.0","3882.0","4636.0","44.96885228592546","44.128680231897235","45.697387875800885"
" 　上富田町","12250.0","5772.0","6478.0","5669.0","2637.0","3032.0","46.27755102040816","45.686070686070686","46.8045693115159"
" 　すさみ町","3895.0","1826.0","2069.0","2480.0","1134.0","1346.0","63.67137355584083","62.10295728368017","65.05558240695989"
"","","","","","","","","",""
" 　那智勝浦町","14029.0","6456.0","7573.0","7031.0","3155.0","3876.0","50.11761351486207","48.86926889714994","51.181830186187774"
" 　太 地 町","2888.0","1285.0","1603.0","1864.0","823.0","1041.0","64.54293628808865","64.04669260700389","64.94073611977542"
"　 古座川町","2625.0","1177.0","1448.0","1860.0","827.0","1033.0","70.85714285714285","70.26338147833475","71.33977900552486"
"　 北 山 村","422.0","191.0","231.0","346.0","154.0","192.0","81.99052132701422","80.6282722513089","83.11688311688312"
" 　串 本 町","15321.0","7077.0","8244.0","7284.0","3274.0","4010.0","47.542588603877036","46.262540624558426","48.641436196021345"
